id,type,iLTs,miLT,ACR,latency,no_click,TCiL,subject
0,map,"[316, 93, 94, 44, 13, 11, 17, 13, 27, 13, 35, 19, 44, 31, 86, 50, 77, 55, 101]",59.0,5,1ms,18,18,22
1,map,"[168, 151, 90, 91, 30, 14, 29, 12, 33, 40, 33, 55]",62.0,3,1ms,9,9,25
2,map,"[157, 150, 87, 101, 12, 50, 17, 12, 23, 29, 34, 86, 50, 68]",62.0,5,1ms,8,8,15
3,map,"[150, 158, 90, 97, 17, 23, 21, 15, 35, 26, 66]",63.0,5,1ms,8,8,14
4,map,"[155, 160, 85, 92, 38, 13, 22, 26, 10, 31, 25, 117, 105, 25]",64.0,4,1ms,7,7,6
5,map,"[167, 150, 88, 93, 50, 46, 33, 14, 44, 72, 13, 35]",67.0,4,1ms,6,6,12
6,map,"[170, 154, 91, 113, 39, 10, 21, 10, 12]",68.0,4,1ms,10,10,23
7,map,"[164, 175, 88, 92, 12, 12, 73, 35, 37, 35, 19, 93]",69.0,5,1ms,8,8,5
8,map,"[187, 163, 161, 89, 93, 27, 10, 25, 13, 12, 42, 34]",71.0,4,1ms,12,12,27
9,map,"[156, 151, 87, 92, 37, 12, 41, 36, 34]",71.0,5,1ms,18,18,28
10,map,"[170, 152, 89, 110, 56, 29, 47, 152, 16, 95, 77, 31, 46, 32, 44, 27, 118, 15]",72.0,4,1ms,10,10,2
11,map,"[279, 153, 89, 92, 31, 10, 11, 29, 16, 11, 13, 81, 42, 185]",74.0,5,1ms,8,8,24
12,map,"[169, 156, 88, 95, 36, 14, 25, 60, 39, 89, 69]",76.0,5,1ms,6,6,8
13,map,"[254, 150, 87, 90, 34, 52, 10, 17]",86.0,4,1ms,7,7,19
14,map,"[156, 205, 31, 245, 21, 164, 83, 56, 34, 14, 15, 10, 69, 47, 41, 38, 204, 255, 142, 50, 56, 34, 97]",89.0,3,1ms,17,17,7
15,map,"[159, 176, 245, 276, 164, 88, 60, 26, 13, 13, 11, 37, 12, 49, 16]",89.0,5,1ms,8,8,26
16,map,"[271, 156, 88, 120, 11, 41, 11, 23, 61, 13, 193]",89.0,5,1ms,7,7,4
17,map,"[692, 11, 88, 92, 16, 22, 35, 16, 34, 34, 32, 124, 83]",98.0,2,1ms,12,12,1
18,map,"[607, 151, 117, 98, 28, 27, 35, 13, 29, 36, 41, 34, 81]",99.0,4,1ms,9,9,11
19,map,"[295, 152, 87, 82, 36, 97, 35, 36, 26, 32, 163, 148]",99.0,4,1ms,14,14,9
20,map,"[173, 183, 245, 277, 167, 87, 55, 16, 26, 22, 10]",114.0,5,1ms,9,9,18
21,map,"[501, 14, 88, 90, 43, 43, 24, 177, 36, 165]",118.0,4,1ms,6,6,20
22,map,"[920, 17, 88, 93, 33, 53, 17, 21, 53, 33, 67]",126.0,5,1ms,18,17,13
23,map,"[1263, 154, 88, 92, 12, 12, 28, 41, 80, 38, 16, 31, 13]",143.0,3,1ms,7,7,10
24,map,"[1368, 165, 245, 275, 164, 99, 103, 19, 39, 11, 22, 22, 32, 83]",189.0,5,1ms,19,18,16
25,map,"[966, 150, 116, 123, 17, 31, 77]",211.0,5,1ms,7,7,3
26,map,"[1278, 163, 248, 275, 197, 89, 60, 29, 12, 10, 15]",216.0,4,1ms,8,8,21
27,map,"[1260, 151, 87, 110, 11, 19, 24]",237.0,5,1ms,7,7,17
28,sat,"[666, 438, 1198, 80, 72, 228, 13, 169, 217, 144, 46, 108, 205, 324, 109]",267.0,3,1ms,12,10,2
29,sat,"[654, 425, 779, 619, 166, 67, 194, 16, 155, 46, 179, 305]",300.0,4,1ms,8,8,26
30,sat,"[497, 446, 478, 482, 324, 184, 65, 204, 218, 402, 222, 388, 180, 484]",326.0,5,1ms,7,7,14
31,sat,"[495, 600, 1216, 162, 251, 18, 81, 177, 152, 221]",337.0,4,1ms,8,8,1
32,sat,"[484, 592, 1167, 161, 115, 199, 113, 11, 181, 228, 184, 460, 385, 179, 421, 246, 619, 735, 202]",351.0,4,1ms,19,19,22
33,sat,"[654, 372, 647, 1039, 163, 114, 146, 108, 178, 224, 148, 455]",354.0,4,1ms,17,15,16
34,sat,"[476, 976, 170, 333, 147, 31]",355.0,4,1ms,6,6,18
35,sat,"[480, 605, 487, 595, 13, 772, 204, 198, 111, 97]",356.0,4,1ms,14,13,7
36,sat,"[482, 596, 1203, 163, 165, 80, 152, 86, 187, 458]",357.0,5,1ms,14,14,4
37,sat,"[1181, 424, 569, 102, 39, 489, 586, 215, 824, 864, 417, 206, 68, 140, 15, 11, 10, 177, 462]",357.0,4,1ms,20,19,10
38,sat,"[483, 594, 646, 1040, 475, 21, 176, 147, 179, 224, 149, 451, 240, 474, 159]",363.0,5,1ms,20,20,28
39,sat,"[570, 594, 1209, 166, 172, 82, 189, 128, 221, 351]",368.0,4,1ms,12,12,9
40,sat,"[490, 594, 593, 645, 616, 321, 11, 153, 179, 224, 148, 453]",368.0,4,1ms,13,13,27
41,sat,"[490, 443, 569, 145, 206, 612, 37, 770, 356, 176]",380.0,5,1ms,9,9,3
42,sat,"[507, 592, 1196, 164, 239, 137, 257, 204, 222]",390.0,4,1ms,12,12,8
43,sat,"[591, 599, 1230, 192, 104, 64, 110]",412.0,5,1ms,6,6,21
44,sat,"[572, 593, 1172, 404, 41, 191, 181, 226, 150, 646]",417.0,4,1ms,8,8,5
45,sat,"[591, 645, 1173, 235, 300, 160, 55, 181, 422]",418.0,4,1ms,9,9,11
46,sat,"[484, 598, 645, 279, 86]",418.0,4,1ms,20,16,13
47,sat,"[625, 299]",462.0,5,1ms,4,4,24
48,map,"[1133, 916, 924, 232, 263, 261, 226, 342, 480, 253, 231, 572, 580, 228]",474.0,3,110ms,12,12,9
49,sat,"[475, 594, 647, 1056, 166, 166, 259]",480.0,5,1ms,13,10,25
50,sat,"[494, 597, 647, 1087, 178, 236, 175]",487.0,5,1ms,7,7,17
51,sat,"[483, 593, 1208, 473, 166, 178, 310]",487.0,4,1ms,7,7,12
52,sat,"[476, 602, 1189, 303, 149, 224]",490.0,4,1ms,7,7,19
53,sat,"[558, 648, 783, 1122, 257, 436, 204, 177, 455, 149, 655]",494.0,3,1ms,7,7,20
54,sat,"[714, 597, 646, 1039, 357, 249, 114]",530.0,3,1ms,7,7,6
55,sat,"[760, 595, 1213, 324, 203, 179, 552]",546.0,3,1ms,7,7,23
56,map,"[1023, 1007, 799, 923, 460, 459, 252, 231, 243, 697, 229]",574.0,4,110ms,11,7,10
57,map,"[1128, 919, 798, 925, 231, 251, 256, 228, 461]",577.0,4,110ms,14,14,16
58,map,"[1159, 1023, 954, 237, 338, 235, 465, 250, 565]",580.0,1,110ms,9,9,1
59,map,"[1139, 1014, 791, 928, 257, 240, 468, 231, 575, 225]",586.0,5,110ms,13,12,28
60,map,"[1189, 1017, 397, 249, 230, 456]",589.0,4,110ms,9,8,5
61,map,"[1122, 1007, 935, 233, 455, 476, 225, 234, 672]",595.0,4,110ms,10,10,22
62,map,"[1128, 685, 461, 233, 472]",595.0,3,110ms,7,6,18
63,map,"[1093, 719, 349, 235]",599.0,5,110ms,5,5,26
64,map,"[1105, 640, 462, 243]",612.0,4,110ms,7,6,8
65,map,"[1138, 1080, 938, 234, 235, 244, 300, 865, 659]",632.0,3,110ms,16,12,2
66,map,"[1126, 1031, 788, 921, 256, 252, 232, 465]",633.0,4,110ms,8,8,17
67,sat,"[848, 597, 1206, 163, 512]",665.0,5,1ms,7,6,15
68,map,"[1160, 925, 677, 797, 919, 457, 491, 247, 343, 659]",667.0,4,110ms,12,12,27
69,map,"[1103, 1021, 930, 471, 453, 237, 236, 894]",668.0,4,110ms,7,7,6
70,map,"[1131, 972, 938, 230, 564, 281, 229, 1045]",673.0,4,110ms,7,7,20
71,map,"[1228, 927, 798, 918, 474, 234, 236, 243, 1101]",684.0,4,110ms,18,11,13
72,map,"[1133, 1008, 935, 248, 355, 450]",688.0,3,110ms,9,9,25
73,map,"[1180, 1026, 937, 474, 460, 233, 565]",696.0,5,110ms,7,7,24
74,map,"[1669, 903, 1062, 1015, 804, 931, 350, 230, 249, 229, 567, 572, 692]",713.0,4,110ms,8,8,14
75,map,"[2018, 610, 270, 460, 229]",717.0,4,110ms,10,10,19
76,map,"[1136, 952, 798, 457, 344]",737.0,5,110ms,6,6,3
77,map,"[1140, 1029, 1037, 947, 242, 282]",779.0,4,110ms,7,7,4
78,map,"[1145, 917, 961, 461, 683, 565, 766]",785.0,4,110ms,7,5,12
79,map,"[2196, 1010, 925, 339, 252, 484, 455]",808.0,4,110ms,10,8,23
80,map,"[1454, 1011, 939, 501, 232]",827.0,5,110ms,6,6,21
81,map,"[1097, 1023, 948, 457, 689]",842.0,5,110ms,6,6,15
82,sat,"[1383, 1420, 1386, 485, 460, 496, 344, 457, 1222]",850.0,4,110ms,10,10,26
