userid,Gender,age group,Eye vision,Education,UtilizationofPC,usingwebmaps,Freqwebmaps
1,1,3,1,3,4,1,1
2,1,2,1,3,4,1,2
3,1,5,1,3,4,1,2
4,1,3,1,3,4,1,1
6,1,3,1,3,4,1,2
6,1,2,1,3,4,1,2
7,2,3,1,3,4,1,1
8,1,4,1,3,4,1,2
9,1,3,1,3,4,1,2
10,1,2,1,2,4,1,1
11,1,3,1,3,3,1,2
12,1,3,1,3,3,1,2
13,1,2,1,3,4,1,2
14,1,3,1,3,4,1,1
15,1,3,1,2,4,1,1
16,2,2,1,2,4,1,1
17,1,2,1,2,4,1,2
18,2,3,1,2,3,1,2
19,1,2,1,3,4,1,1
20,1,5,1,3,4,2,3
21,1,3,1,3,4,1,3
22,2,2,1,3,3,1,1
23,,1,2,4,1,2
24,,1,1,4,1,3
25,,1,3,4,1,1
26,,1,3,3,1,1
27,,1,3,4,1,2
28,,1,3,4,1,2
