,typ,iLTs,ACR,net_delay,mouse_clicks,subject
0,map,"1555082919042:6055,1555082938657:1845,1555082941215:4304",1,600ms,"0:Down:1555082922055:101:168:0,up:1555082922203:101-168:0,up:1555082926427:144-192:0,up:1555082929627:110-96:0,up:1555082929835:110-96:0,up:1555082930043:110-96:0,up:1555082930244:110-96:0,up:1555082930435:110-96:0,up:1555082930643:110-96:0,up:1555082930795:110-96:0,-9:Down:1555082932508:866:266:0,up:1555082932956:659-552:0,-9:Down:1555082933663:731:238:0,up:1555082934220:644-515:0,-9:Down:1555082934765:871:292:0,up:1555082935812:727-484:0,-9:Down:1555082936140:872:286:0,up:1555082936692:750-469:0,-9:Down:1555082938437:669:313:0,up:1555082938724:624-383:0,up:1555082940603:98-121:0,up:1555082940788:98-121:0,up:1555082940963:98-121:0,up:1555082941148:98-121:0,4304:Down:1555082946036:594:719:0,up:1555082946091:594-719:0,4304:Down:1555082946372:589:719:0,up:1555082946467:589-719:0,4304:Down:1555082947788:542:781:0,up:1555082947907:542-781:0,4304:Down:1555082948812:477:782:0,up:1555082948907:477-782:0,4304:Down:1555082949933:662:836:0,up:1555082950043:662-836:0",1
1,map,1555082986828,1,1500ms,"-9:Down:1555082952719:112:160:0,up:1555082952819:112-160:0,up:1555082958387:104-184:0,up:1555082961283:84-95:0,up:1555082961476:85-95:0,up:1555082961653:85-95:0,up:1555082961836:85-95:0,up:1555082962003:85-95:0,up:1555082962187:85-95:0,up:1555082962363:85-95:0,up:1555082962539:85-95:0,up:1555082962715:85-95:0,up:1555082962875:85-95:0,-9:Down:1555082965109:961:342:0,up:1555082965596:874-482:0,-9:Down:1555082966014:996:273:0,up:1555082966540:849-424:0,-9:Down:1555082967629:938:275:0,up:1555082968092:790-542:0,-9:Down:1555082968974:946:342:0,up:1555082969348:858-463:0,-9:Down:1555082971070:930:324:0,up:1555082971556:847-451:0,-9:Down:1555082971915:926:317:0,up:1555082972300:864-447:0,-9:Down:1555082974859:769:342:0,up:1555082975196:721-409:0,up:1555082985211:100-122:0,up:1555082985388:100-122:0,up:1555082985587:100-122:0,up:1555082985828:100-122:0,up:1555082986571:100-122:0,-9:Down:1555082987956:598:722:0,up:1555082988075:598-722:0,-9:Down:1555082988493:592:722:0,up:1555082988579:592-722:0,-9:Down:1555082990108:473:781:0,up:1555082990243:473-781:0,-9:Down:1555082990678:662:831:0,up:1555082990820:662-831:0",1
2,map,1555083032396,1,2000ms,"-9:Down:1555082992631:101:160:0,up:1555082992732:101-160:0,up:1555083000659:96-76:0,up:1555083000836:96-76:0,up:1555083001019:96-76:0,up:1555083001204:96-76:0,up:1555083001387:96-76:0,-9:Down:1555083001783:547:269:0,up:1555083002140:619-461:0,up:1555083003099:101-92:0,-9:Down:1555083007605:831:401:0,up:1555083007956:699-701:0,-9:Down:1555083008422:1009:368:0,up:1555083010876:951-410:0,-9:Down:1555083011277:963:333:0,up:1555083014660:840-482:0,-9:Down:1555083015183:931:314:0,up:1555083015708:894-370:0,-9:Down:1555083021460:868:309:0,up:1555083022589:842-541:0,-9:Down:1555083022876:976:239:0,up:1555083023292:972-355:0,-9:Down:1555083026149:847:305:0,up:1555083026524:841-350:0,up:1555083030355:103-131:0,up:1555083031147:103-131:0,up:1555083032148:103-131:0,-9:Down:1555083034085:586:718:0,up:1555083034171:586-718:0,-9:Down:1555083035075:471:782:0,up:1555083035179:469-782:0,-9:Down:1555083036077:638:819:0,up:1555083036211:638-819:0",1
3,map,"1555083036509:3798,1555083043617:3253,1555083050249:1626,1555083053380:3003",1,400ms,"-9:Down:1555083037932:97:161:0,up:1555083038011:97-161:0,up:1555083043259:106-81:0,up:1555083043436:106-81:0,up:1555083043611:106-81:0,up:1555083043788:106-81:0,up:1555083043955:106-81:0,up:1555083044139:106-81:0,up:1555083044307:106-81:0,up:1555083044580:106-81:0,-9:Down:1555083046868:751:381:0,up:1555083047220:494-713:0,-9:Down:1555083047620:802:504:0,up:1555083047996:736-628:0,-9:Down:1555083048421:903:386:0,up:1555083048804:760-591:0,-9:Down:1555083049140:887:357:0,up:1555083049579:822-542:0,-9:Down:1555083050006:817:409:0,up:1555083050468:827-564:0,up:1555083052499:99-110:0,up:1555083052676:99-110:0,up:1555083052859:99-110:0,up:1555083053123:99-110:0,-9:Down:1555083054699:585:727:0,up:1555083054827:586-726:0,-9:Down:1555083055100:586:724:0,up:1555083055227:586-724:0,-9:Down:1555083055956:478:783:0,up:1555083056083:478-783:0,-9:Down:1555083056339:474:785:0,up:1555083056443:474-786:0,3003:Down:1555083057132:640:816:0,up:1555083057284:641-816:0",1
4,map,"1555083057559:1159,1555083064747:1023,1555083067465:954,1555083071090:237,1555083071849:338,1555083072632:235,1555083073519:465,1555083074718:250,1555083076214:4,1555083076464:565",1,110ms,"1159:Down:1555083059885:98:172:0,up:1555083059947:98-171:0,up:1555083064499:136-189:0,up:1555083067075:103-83:0,up:1555083067259:103-83:0,up:1555083067451:103-83:0,up:1555083067628:103-83:0,up:1555083067803:103-83:0,up:1555083067987:103-83:0,up:1555083068179:103-83:0,954:Down:1555083070827:856:213:0,up:1555083071260:785-530:0,237:Down:1555083071631:901:281:0,up:1555083072052:827-519:0,338:Down:1555083072405:931:233:0,up:1555083072884:876-538:0,235:Down:1555083073261:1029:370:0,up:1555083073804:800-514:0,465:Down:1555083074446:892:445:0,up:1555083074892:821-465:0,up:1555083075763:91-120:0,up:1555083075988:91-120:0,up:1555083076203:91-120:0,up:1555083076452:91-120:0,565:Down:1555083078101:590:719:0,up:1555083078203:590-719:0,565:Down:1555083079132:473:781:0,up:1555083079259:473-781:0,565:Down:1555083079956:660:829:0,up:1555083080155:660-829:0",1
5,map,"1555083080438:8292,1555083089116:7716,1555083109040:3714,1555083115582",1,850ms,"-9:Down:1555083083518:107:178:0,up:1555083083651:107-178:0,-9:Down:1555083083981:100:169:0,up:1555083084075:100-169:0,up:1555083088859:123-182:0,up:1555083097371:102-89:0,up:1555083097563:102-89:0,up:1555083097755:102-89:0,up:1555083097947:102-89:0,up:1555083098139:102-89:0,up:1555083098339:102-89:0,-9:Down:1555083099933:901:233:0,up:1555083100381:774-542:0,-9:Down:1555083100758:828:254:0,up:1555083101228:708-486:0,-9:Down:1555083101781:838:275:0,up:1555083102348:744-480:0,-9:Down:1555083102645:852:400:0,up:1555083103252:647-587:0,-9:Down:1555083108812:785:489:0,up:1555083109188:720-578:0,up:1555083114715:100-121:0,up:1555083115324:100-121:0,-9:Down:1555083116780:586:719:0,up:1555083116907:586-719:0,-9:Down:1555083117892:470:779:0,up:1555083118003:470-779:0,-9:Down:1555083118563:615:824:0,up:1555083118691:615-824:0",1
6,map,"1555083118968:10789,1555083154736",1,1100ms,"-9:Down:1555083126096:108:165:0,up:1555083126195:108-165:0,up:1555083132011:118-186:0,-9:Down:1555083134412:600:719:0,up:1555083134507:600-719:0,-9:Down:1555083134867:591:719:0,up:1555083134963:591-719:0,up:1555083139459:102-88:0,up:1555083140043:100-80:0,up:1555083140499:100-80:0,-9:Down:1555083141398:785:312:0,up:1555083141902:644-543:0,-9:Down:1555083142262:732:332:0,up:1555083142692:609-532:0,-9:Down:1555083143117:821:357:0,up:1555083143564:715-486:0,-9:Down:1555083144085:798:314:0,up:1555083144732:778-392:0,-9:Down:1555083147437:831:277:0,up:1555083147924:789-395:0,-9:Down:1555083148197:841:290:0,up:1555083148652:788-389:0,-9:Down:1555083149285:803:296:0,up:1555083149804:790-351:0,-9:Down:1555083151374:846:366:0,up:1555083151676:822-443:0,up:1555083153708:109-131:0,up:1555083153940:109-131:0,up:1555083154483:109-131:0,-9:Down:1555083156484:469:785:0,up:1555083156635:469-785:0,-9:Down:1555083157091:644:832:0,up:1555083157211:647-832:0",1
7,map,"1555083157485:692,1555083162598:11,1555083164447:88,1555083164840:92,1555083166481:16,1555083167304:22,1555083167983:35,1555083168623:16,1555083171730:34,1555083171981:34,1555083172063:32,1555083172331:124,1555083172582:83",2,1ms,"692:Down:1555083159125:93:162:0,up:1555083159227:93-162:0,up:1555083162339:145-197:0,up:1555083164443:95-87:0,up:1555083164637:95-87:0,up:1555083164835:95-87:0,up:1555083165029:95-87:0,up:1555083165187:95-87:0,up:1555083165387:95-87:0,up:1555083165572:95-87:0,92:Down:1555083166051:763:357:0,up:1555083166660:596-659:0,16:Down:1555083167076:703:412:0,up:1555083167429:546-703:0,22:Down:1555083167764:863:368:0,up:1555083168124:659-676:0,35:Down:1555083168404:736:447:0,up:1555083168716:694-575:0,up:1555083171723:107-124:0,up:1555083171900:107-124:0,up:1555083172051:107-124:0,up:1555083172322:107-124:0,83:Down:1555083173323:582:712:0,up:1555083173435:582-712:0,83:Down:1555083173707:582:712:0,up:1555083173834:582-712:0,83:Down:1555083174163:583:724:0,up:1555083174291:583-724:0,83:Down:1555083175139:481:783:0,up:1555083175315:477-783:0,83:Down:1555083175619:468:782:0,up:1555083175723:468-782:0,83:Down:1555083177956:540:782:0,up:1555083178155:540-782:0,83:Down:1555083179556:621:820:0,up:1555083179731:621-820:0",1
8,sat,"1555083179932:13063,1555083237645",1,1100ms,"0:Down:1555083186834:108:182:0,up:1555083186939:108-182:0,0:Down:1555083192973:108:182:0,up:1555083193179:108-182:0,13063:Down:1555083194381:108:182:0,up:1555083194523:108-182:0,13063:Down:1555083196475:97:166:0,up:1555083196611:97-166:0,up:1555083200331:129-189:0,up:1555083205139:100-89:0,up:1555083205627:100-89:0,up:1555083205979:100-89:0,-9:Down:1555083212980:884:280:0,up:1555083214084:712-505:0,-9:Down:1555083214580:822:348:0,up:1555083215260:726-493:0,-9:Down:1555083215812:873:371:0,up:1555083217228:791-482:0,-9:Down:1555083217748:869:375:0,up:1555083218876:819-442:0,-9:Down:1555083219372:883:328:0,up:1555083221812:694-605:0,-9:Down:1555083222316:761:418:0,up:1555083222628:795-475:0,up:1555083235346:98-125:0,up:1555083235770:98-125:0,up:1555083237386:98-125:0,-9:Down:1555083238851:581:722:0,up:1555083238970:581-722:0,-9:Down:1555083239946:480:779:0,up:1555083240074:480-779:0,-9:Down:1555083240411:468:782:0,up:1555083240506:468-782:0,-9:Down:1555083240994:354:768:0,up:1555083241098:354-768:0,-9:Down:1555083241306:404:788:0,up:1555083241386:404-788:0,-9:Down:1555083241491:404:788:0,up:1555083241578:404-788:0,-9:Down:1555083242539:660:824:0,up:1555083242690:660-824:0",1
9,sat,1555083304243,1,2000ms,"-9:Down:1555083252447:108:174:0,up:1555083252538:108-174:0,up:1555083256242:125-184:0,up:1555083262474:98-93:0,up:1555083262703:98-93:0,up:1555083262866:98-93:0,up:1555083263036:98-93:0,up:1555083263195:98-93:0,up:1555083263379:98-93:0,-9:Down:1555083273964:870:307:0,up:1555083275005:633-582:0,-9:Down:1555083288339:841:406:0,up:1555083289091:779-453:0,-9:Down:1555083289771:909:378:0,up:1555083291123:853-420:0,-9:Down:1555083291812:940:294:0,up:1555083296187:827-396:0,-9:Down:1555083303813:889:514:0,up:1555083304299:690-779:0,-9:Down:1555083307818:656:720:0,up:1555083307922:656-720:0,-9:Down:1555083309403:466:785:0,up:1555083309514:466-785:0,-9:Down:1555083310283:638:825:0,up:1555083310362:638-825:0",1
